新编号,原标识,来源,里程,记录数,TQI均值,TQI标准差,最佳MAE,改善幅度,类型
59,里程302400,批量样本,302400,245,1.9684897959183671,0.1729462773651586,0.0977917545773954,37.4%,批量样本
60,里程126400,批量样本,126400,178,1.5892696629213483,0.1473840644855898,0.0978485686787657,19.6%,批量样本
61,里程354400,批量样本,354400,247,1.982672064777328,0.1601274446351847,0.0981974616347831,39.3%,批量样本
62,里程404400,批量样本,404400,246,1.873373983739837,0.1348604659623243,0.0985423230879722,22.1%,批量样本
63,里程131400,批量样本,131400,178,1.428483146067416,0.1258483180235969,0.0995879629629629,20.1%,批量样本
64,里程479400,批量样本,479400,249,2.047951807228916,0.1971373295455475,0.1001149737108357,30.4%,批量样本
65,里程95400,批量样本,95400,180,1.4674999999999996,0.1228110007264876,0.1016173088023087,28.8%,批量样本
66,里程300400,批量样本,300400,243,1.853703703703704,0.1096626432145623,0.1024676178701579,11.8%,批量样本
67,里程345400,批量样本,345400,243,1.9041152263374483,0.1221143748799648,0.1026081981012893,29.9%,批量样本
68,里程627400,批量样本,627400,251,2.4854183266932277,0.2136092795334249,0.1032417556731344,42.3%,批量样本
69,里程133400,批量样本,133400,177,1.5175141242937855,0.1256823696387333,0.103582679778818,13.7%,批量样本
70,里程434400,批量样本,434400,245,2.4493061224489803,0.1942195609927024,0.103629423077759,35.2%,批量样本
71,里程497400,批量样本,497400,251,1.9315537848605575,0.1940463246124943,0.104595784039089,24.1%,批量样本
72,里程286400,批量样本,286400,242,1.828471074380165,0.1553143552681718,0.1048093434162826,30.1%,批量样本
73,里程542400,批量样本,542400,249,1.921124497991968,0.1556267912264094,0.1050475156270717,13.3%,批量样本
74,里程208400,批量样本,208400,247,1.686518218623482,0.1586939282963107,0.1066918980064985,16.8%,批量样本
75,里程455400,批量样本,455400,205,1.9699512195121955,0.1818248930329581,0.1070868676486559,31.7%,批量样本
76,里程463400,批量样本,463400,252,1.869206349206349,0.2459281246814356,0.1076962706769207,55.3%,批量样本
77,里程304400,批量样本,304400,240,1.9177083333333331,0.1323877843808768,0.1079244603232928,18.9%,批量样本
