历史均值,v23_no_seasonal,trimmed_5%,trimmed_10%,trimmed_15%,trimmed_20%,adaptive_hybrid,adaptive_shift,mile
0.3308017829627997,0.605909090909091,0.26997435064935055,0.27925082312054145,0.2854371072475912,0.2844628595703363,0.30018181818181794,0.3308017829627997,707400
0.6271018589253884,1.3415584415584416,0.5790940452736124,0.5483319607222055,0.5152397164588405,0.49380960434913945,0.47155844155844157,0.6271018589253884,708400
1.1450020371785077,0.1748571428571427,1.1329218366772549,1.134228381374724,1.1358260464634975,1.1404052552099064,1.134228381374724,1.1450020371785077,709400
1.0777597314477538,1.056820512820513,1.036976568047337,1.038540324727176,1.0406261274956925,1.0433052109181138,1.054871794871795,1.0777597314477538,711400
0.5908532247696592,0.5908532247696592,0.5992908875739643,0.6057503327122703,0.612347826086957,0.6191265508684864,0.6261538461538462,0.5908532247696592,712400
0.6281481322762662,0.6281481322762662,0.618582879684418,0.6183169195279923,0.6229117259552038,0.6259981094174645,0.6183169195279923,0.6281481322762662,713400
1.5701487636657137,1.3566883116883113,1.5795539366883127,1.5829242271812696,1.585474602010893,1.5883098070154145,1.5829242271812696,1.5701487636657137,714400
0.7968199643493756,0.7479740259740257,0.7922186080173698,0.7934095660437125,0.7957549024680498,0.7960623980670481,0.7859740259740259,0.7968199643493756,715400
1.2992251982001282,1.606452991452992,1.3153169230769233,1.3227324993345757,1.3266734569778045,1.328981921304502,1.3227324993345757,1.2992251982001282,716400
1.052802014141847,1.249337606837607,1.0731969230769234,1.0804008517434123,1.0836430525995748,1.0853849698688407,1.0846153846153848,1.052802014141847,717400
1.3968539390043566,1.7678205128205127,1.4185712820512824,1.4197374678378138,1.4176505523462044,1.4155025404702828,1.4197374678378138,1.3968539390043566,718400
0.8592844796800231,1.0961965811965817,0.8630410256410255,0.8554991571289148,0.8535975473801566,0.8534382606640667,0.8554991571289148,0.8592844796800231,719400
1.9382735616338977,1.8712987012987012,1.9821536395703059,1.9999098124098122,2.0048979076479085,2.0073172198172204,2.0012987012987016,1.9382735616338977,721400
1.396837083065495,1.3597863247863244,1.4285794871794866,1.4380139295537222,1.4303190432755648,1.4218682500295405,1.4380139295537222,1.396837083065495,722400
1.114541675594601,1.3323076923076922,1.1428369230769229,1.1435879691243016,1.1428808148373364,1.1427224388514712,1.142307692307692,1.114541675594601,723400
1.042054878269363,1.183896103896104,1.0570591808191812,1.0541590796746503,1.0506470920383966,1.0472279011311272,1.043896103896104,1.042054878269363,724400
0.9224309692164848,1.2316452991452989,0.9446174358974363,0.9466451069115428,0.9472616803486372,0.9477648587971166,0.9466451069115428,0.9224309692164848,725400
0.30774253879824925,0.474025974025974,0.33127220779220773,0.3392108030377924,0.34204517221908526,0.3418382308935304,0.33311688311688326,0.30774253879824925,726400
