mile,historical_mean,moving_average,timemixer,v21,v23,best,v23_improvement
707400,0.3308017829627997,0.27088744588744623,0.3308017829627997,0.6556637118656291,0.6711623492250415,移动平均,-0.34036056626224176
708400,0.6271018589253884,1.6125584415584424,0.6271018589253884,0.6924590332127761,1.3544590332127764,历史均值,-0.727357174287388
709400,1.1450020371785077,1.4234502164502159,1.1450020371785077,0.47855310494975484,0.2347741661844847,v2.3,0.910227870994023
711400,1.0777597314477538,1.216940170940171,1.0777597314477538,1.2286704102793489,1.0669268205357587,v2.3,0.01083291091199512
712400,0.5908532247696592,0.24085470085470084,0.5908532247696592,0.5834628250848085,0.5908532247696592,移动平均,0.0
713400,0.6281481322762662,0.2416923076923075,0.6281481322762662,0.23704818933634536,0.6281481322762662,v2.1,0.0
714400,1.5701487636657137,1.862354978354979,1.5701487636657137,2.1883080421451626,1.3723080421451623,v2.3,0.19784072152055132
715400,0.7968199643493756,1.0509740259740266,0.7968199643493756,1.0058516620330105,0.7681849953663438,v2.3,0.02863496898303186
716400,1.2992251982001282,1.6725641025641023,1.2992251982001282,1.8955238490942306,1.6237301983005812,历史均值,-0.324505000100453
717400,1.052802014141847,1.3069487179487174,1.052802014141847,1.62516577920852,1.2647094300021715,历史均值,-0.21190741586032447
718400,1.3968539390043566,1.8538205128205136,1.3968539390043566,2.180200487069019,1.7886052489737814,历史均值,-0.39175130996942475
719400,0.8592844796800231,1.1689743589743593,0.8592844796800231,1.4915318797325634,1.1076112448119297,历史均值,-0.24832676513190666
721400,1.9382735616338977,2.232965367965368,1.9382735616338977,2.46690691908175,1.8930973952722265,v2.3,0.04517616636167121
722400,1.396837083065495,1.26423076923077,1.396837083065495,0.8262116925941643,1.3487709324103687,v2.1,0.048066150655126316
723400,1.114541675594601,1.3936410256410252,1.114541675594601,1.5782198847423088,1.344457979980404,历史均值,-0.22991630438580302
724400,1.042054878269363,1.3272294372294373,1.042054878269363,1.496002729936654,1.199629714063638,历史均值,-0.157574835794275
725400,0.9224309692164848,1.3085897435897438,0.9224309692164848,1.4587391172224593,1.2480327680161096,历史均值,-0.3256017987996248
726400,0.30774253879824925,0.6964285714285712,0.30774253879824925,0.9448093093411273,0.5155106967585912,历史均值,-0.20776815796034193
727400,0.6331494410881598,1.2114155844155845,0.6331494410881598,1.4696795749748797,1.1387136322206353,历史均值,-0.5055641911324754
728400,1.459847881923091,1.8014978354978362,1.459847881923091,2.194731412339359,0.8615475751613704,v2.3,0.5983003067617205
729400,0.7868957217341617,1.2018205128205122,0.7868957217341617,1.534132543737478,1.1480134961184307,历史均值,-0.36111777438426906
730400,0.7948408119658121,1.1338888888888892,0.7948408119658121,1.442012322106471,1.0803023098964597,历史均值,-0.28546149793064757
731400,1.328774572649573,1.7344700854700852,1.328774572649573,2.068297881958433,1.6613638160243664,历史均值,-0.33258924337479345
732400,1.0983498534891294,1.299883116883117,1.0983498534891294,1.540061230463408,1.067007750972295,v2.3,0.031342102516834336
733400,0.3411488465109632,1.458128205128205,0.3411488465109632,0.5101581180668718,1.1712752580708168,历史均值,-0.8301264115598536
734400,0.25048496906992734,2.5525021645021653,0.25048496906992734,0.4264380280371199,0.4856472893682151,历史均值,-0.23516232029828776
735400,0.6780084993929005,1.146974358974359,0.6780084993929005,1.4942900303476843,1.0954910885487428,历史均值,-0.41748258915584224
736400,1.4705053418803418,2.3357692307692317,1.4705053418803418,1.4418287709992952,1.2932854254559494,v2.3,0.1772199164243924
737400,1.02489650997151,1.2874358974358975,1.02489650997151,1.3625689850596507,1.2173091644052643,历史均值,-0.19241265443375433
738400,0.5513410256410253,1.1590256410256412,0.5513410256410253,1.2867568938946814,0.6313380904758786,历史均值,-0.07999706483485336
739400,0.4117074786324787,0.820384615384615,0.4117074786324787,0.28920077054233073,0.25202933780070935,v2.3,0.15967814083176934
740400,0.4846109563602599,0.6544871794871797,0.4846109563602599,0.7705380085628714,0.6055231534216232,历史均值,-0.1209121970613633
741400,1.3923813261946971,1.8607489177489176,1.3923813261946971,2.059621786360429,1.527636731732517,历史均值,-0.1352554055378199
742400,1.4088350504244358,1.7584545454545453,1.4088350504244358,1.9841669113585652,1.3888997499485465,v2.3,0.019935300475889317
743400,1.2132410968660972,1.5095897435897436,1.2132410968660972,0.7068924192661084,1.4331390360752252,v2.1,-0.21989793920912803
