sample,mile,no_trend_mae,with_trend_mae,post_maint_trend_mae
0号-稳定型,1184400,0.15625000000000017,0.16121978683311752,0.7751664101060264
3号-波动型,733400,0.2064371980676328,0.16347786702559686,0.8743927430165757
