sample,mile,n_clean,plane_mae,elevation_mae,fusion_mae,total_mae
0号-稳定型,1184400,449,0.038308823529411846,0.1365196078431372,0.16036764705882336,0.15625000000000017
3号-波动型,733400,460,0.07650966183574903,0.15084541062801943,0.20421497584541098,0.2064371980676328
