sample_idx,mile,n_clean,Data Driven,Moving Avg,Holt Exp,LSTM,TimeMixer,Trident,best_baseline_name,best_baseline_mae,trident_improvement
1,1184400,449,0.13204898838516313,0.15625000000000017,0.6102356574289887,0.1996236731022476,0.16825652554015202,0.1497914854292633,Data Driven,0.13204898838516313,-13.436299104653868
2,1191400,482,0.318714117312305,0.18901826484018286,0.1641724838798467,0.17340083320978908,0.14045462921561452,0.20158944461025363,TimeMixer,0.14045462921561452,-43.52637982532417
3,733400,460,0.32563250517598535,0.2064371980676328,0.39651220178624375,0.23391497939334738,0.25556935817805426,0.1603510266322159,Moving Avg,0.2064371980676328,22.324548030495063
4,734400,458,0.2415013134057967,0.2035024154589372,0.3925036924165075,0.22112918971761625,0.22263409319645722,0.156529142236467,Moving Avg,0.2035024154589372,23.082415565700497
5,1213400,462,0.337143564794338,0.1932142857142854,0.20012844348368078,0.16297665336595543,0.2276033810015233,0.1987628340553955,LSTM,0.16297665336595543,-21.95785712269112
6,1190400,483,0.585747466969281,0.1601027397260273,0.16453788608521375,0.16989280525928446,0.17470427710680636,0.19285857778619478,Moving Avg,0.1601027397260273,-20.459261419398747
7,811400,462,0.2305188854489167,0.33535714285714263,2.131899748528959,0.5244281490523132,0.29707293233082693,0.3050856419754277,Data Driven,0.2305188854489167,-32.34735253092099
8,910400,453,0.20355761736871364,0.20808823529411793,0.5537342082592838,0.18408147419140206,0.17892509432795184,0.23592792092560194,TimeMixer,0.17892509432795184,-31.858486263066943
9,879400,431,0.32466818297981215,0.29423076923076913,0.43234873257637185,0.3059448600488078,0.27092699548513516,0.25073064184041943,TimeMixer,0.27092699548513516,7.454537193147233
10,713400,479,0.5923223051409608,0.23703703703703713,0.2874116615387509,0.25022463845485965,0.28604075916712707,0.22158611293082414,Moving Avg,0.23703703703703713,6.518358607308601
11,830400,455,0.29390825813508353,0.4450603864734301,0.8632642488713387,0.45092234473678966,0.37220332391456307,0.42917727071856715,Data Driven,0.29390825813508353,-46.02422995590429
12,821400,433,0.3213965981213506,0.2699487179487179,0.9762479963606979,0.3545360848274751,0.24311639163916388,0.23281004269714342,TimeMixer,0.24311639163916388,4.239265346335534
13,832400,459,0.25589462278206676,0.3067753623188409,1.5355555033383235,0.36286568102642563,0.29817908257709164,0.2604921657096207,Data Driven,0.25589462278206676,-1.7966547626401046
14,812400,466,0.3336195442594217,0.20764285714285707,0.5917596322779005,0.2329661575480153,0.2057375012172557,0.18629285490051228,TimeMixer,0.2057375012172557,9.451192029502762
15,1189400,482,0.3844636396894419,0.30178082191780814,0.3036850209572084,0.2234799988650033,0.18762981631279663,0.2709986425162706,TimeMixer,0.18762981631279663,-44.432610894043755
16,745400,461,0.2107009760425909,0.4586666666666669,1.5651087947174893,0.5698105525744752,0.34858641427585524,0.48128067310320444,Data Driven,0.2107009760425909,-128.4188152056395
17,1037400,483,0.8611275026343521,0.18369863013698606,1.2579511979395983,0.2442166160760541,0.40167193537056545,0.24097388541711678,Moving Avg,0.18369863013698606,-31.178923455999612
18,1208400,479,0.6517543946931988,0.25037037037036997,0.310296913295927,0.23926760476310274,0.38536387506909864,0.2739355722889776,LSTM,0.23926760476310274,-14.489202397541181
19,712400,478,0.5633393213572877,0.1884722222222223,0.28831894008978737,0.1929703094682012,0.2951628317439202,0.18068472101181826,Moving Avg,0.1884722222222223,4.131909264178997
20,1209400,479,0.3351645936981751,0.305347222222222,0.1833449780490383,0.3558851534972593,0.15882877280265334,0.30469560918744665,TimeMixer,0.15882877280265334,-91.83905019906852
21,930400,456,0.33182295216028557,0.40358695652173865,0.29078861718656557,0.45428464742153224,0.37479847197613353,0.4147345351413045,Holt Exp,0.29078861718656557,-42.624061132082446
22,936400,457,0.2797950570169471,0.27387681159420263,0.8823642176222547,0.3805864637400177,0.3048954537882575,0.27800941836047643,Moving Avg,0.27387681159420263,-1.5089290481433675
23,1010400,481,1.1756730675146767,0.43942922374429233,0.7138717005689671,0.5031486200785974,0.6522951049141117,0.45745214801965633,Moving Avg,0.43942922374429233,-4.101439617919381
24,1023400,452,0.31471007073715573,0.13470588235294126,0.33341972418802374,0.14934056854743807,0.13980035368577792,0.11553195074779239,Moving Avg,0.13470588235294126,14.233923025656356
25,883400,450,0.4012442577030812,0.4729411764705882,0.8207082571645867,0.3933029268780617,0.41884612511671326,0.3378487069221618,LSTM,0.3933029268780617,14.099620462039613
26,881400,434,0.34335913591359124,0.45474747474747484,1.2647829833520086,0.5114396947062321,0.3461187118711871,0.4197554189601494,Data Driven,0.34335913591359124,-22.2496724437773
27,892400,467,0.42480752613842526,0.5015727699530519,1.7082157076633382,0.6158216628343839,0.5234978205977515,0.46087597522860574,Data Driven,0.42480752613842526,-8.49053909615232
28,895400,481,0.4472082925636002,0.6278082191780824,2.9282926729183356,0.860918419475184,0.6057222358121326,0.5418721653073378,Data Driven,0.4472082925636002,-21.16773644806127
29,1026400,483,1.3567637999513635,0.24183789954337864,1.649245459849402,0.26733936904003763,0.6079357263155989,0.2879182854269065,Moving Avg,0.24183789954337864,-19.05424500069411
30,1033400,484,1.0191371889438268,0.18493150684931506,2.1381465856213095,0.20268341743376594,0.391214823520935,0.2251129349660755,Moving Avg,0.18493150684931506,-21.727735203877877
31,913400,454,0.35267690760298087,0.2981884057971016,0.8165415700921161,0.3037452047518389,0.29904974169066884,0.3525320407702277,Moving Avg,0.2981884057971016,-18.22459690471786
32,893400,477,0.5661478144811474,0.6279166666666667,3.5008007537071095,0.8284801320553831,0.7456365671226779,0.5506916195601106,Data Driven,0.5661478144811474,2.7300635144554586
33,861400,437,0.39963338301043194,0.429848484848485,0.6540009151244021,0.4499343122643431,0.4301303195893362,0.44293599168972836,Data Driven,0.39963338301043194,-10.835583442278658
34,1212400,480,0.6267519841269841,0.24891203703703693,0.7157220636609831,0.3577527869180785,0.3933275462962964,0.282506249874216,Moving Avg,0.24891203703703693,-13.496419553298031
35,820400,436,0.42560357675111765,0.3414393939393938,1.0936242709327721,0.4041139368015729,0.32887329579952534,0.2847970657144884,TimeMixer,0.32887329579952534,13.402191861726884
36,898400,467,0.45113617903741493,0.7017957746478874,1.9297616417318306,0.8857058147422325,0.6422525274345466,0.6893661240450341,Data Driven,0.45113617903741493,-52.806659292085186
37,814400,466,0.4945125328659069,0.977785714285715,2.3855930261299805,1.1198755512486538,0.7877791118901545,0.966998936661488,Data Driven,0.4945125328659069,-95.54589062835774
38,1018400,477,1.628671171171169,0.3835648148148152,0.9969443991609336,0.34298386147004345,0.7531681681681677,0.40177984871144534,LSTM,0.34298386147004345,-17.142493815714765
39,1011400,476,1.8450271104437792,0.5186342592592589,0.9687530664683105,0.45304279156840443,0.910263666444223,0.5396851802308481,LSTM,0.45304279156840443,-19.124548558093906
