tqi_mile,record_count,train_count,test_count,historical_mean_mae,historical_mean_rmse,historical_mean_mape,ma_mae,ma_rmse,ma_mape,holt_winters_mae,holt_winters_rmse,holt_winters_mape,mlp_mae,mlp_rmse,mlp_mape,timemixer_mae,timemixer_rmse,timemixer_mape,trident_v1_mae,trident_v1_rmse,trident_v1_mape,trident_v2_mae,trident_v2_rmse,trident_v2_mape,trident_v21_mae,trident_v21_rmse,trident_v21_mape
705400,498,348,75,1.7307797701149434,1.8280007627852797,44.10851081412987,0.9592666666666662,1.0816214679822136,24.03536461431337,9.34240344023983,10.09957159427328,220.6159447253553,2.1580373722387938,2.665981793889878,49.065822411020235,4.05913938106852,4.14282609928122,101.71411080426245,0.7398631823260896,0.931863574093114,17.009283123290466,1.7307797701149434,1.82800076278528,44.10851081412987,0.4525415887566,0.48369449158523165,8.940037481676088
707400,507,354,77,0.3308017829627979,0.4727276818942673,6.179031933323524,0.27088744588744645,0.3840940184475868,4.918439199046442,1.517041047077291,1.694799714544568,26.472640198951375,1.7204956788749888,1.9514640326504296,29.664730518650412,0.37716806512453,0.5160947569535561,7.010272105994965,0.5290936189984744,0.7186169312130016,9.396905805537138,0.3308017829627979,0.47272768189426717,6.179031933323524,0.58919488561346,0.7957870038585587,10.074898565766711
708400,511,357,77,0.6271018589253858,0.7084625944907171,18.416392640025542,1.6125584415584424,1.6459062044254635,45.646128114382556,0.931088109844797,1.0907322012075245,27.28878818099506,4.022228323477696,4.047665498946716,111.69675487794485,1.3235216676318609,1.3640209232430838,37.660167790194485,1.731684141437887,1.7615853227793672,48.77007934113276,2.6361514225623544,2.65663162072981,73.92738537359709,1.6085577180148494,1.6306660449951784,41.06421460822218
709400,511,357,77,1.1450020371785148,1.1710653167764005,36.7322817151971,1.4234502164502145,1.4444981238221895,45.460813885699025,2.6872615520982635,2.748786586770361,84.46564409878566,2.251929059384695,2.2767382693479004,71.39350503032851,2.5752720832354057,2.586857069349954,81.562216624858,1.666300551200975,1.6864113205640963,52.9201514554319,1.1450020371785148,1.1710653167764011,36.7322817151971,1.2661299229925798,1.2794672855721163,38.20639368642711
711400,514,359,78,1.0777597314477532,1.595303817096828,42.516080571730726,1.216940170940171,1.6707129677215118,48.567611056960615,1.3690301072969753,1.754608040596109,55.12630928774477,1.539668577730669,1.8819672437459485,62.42261756372057,1.2271912760986265,1.676620285301775,49.01320112534103,1.4604414725504113,1.8429256319347325,59.17243790553671,0.663161089396526,1.5197089463429672,24.101012344370147,0.8855882390990013,1.1679921493562297,27.17421181228031
712400,514,359,78,0.5908532247696592,0.6245645004689155,16.394047525421513,0.240854700854701,0.3577000127834764,7.27276857854572,0.20595304721422833,0.34798447702838786,6.537870596865115,0.8573332251550068,0.9388843465289209,25.097753156966963,0.21993660227464445,0.3557382017489172,7.0500718528741135,0.21614986823528612,0.35349743531645755,6.860218101291675,0.5908532247696592,0.6245645004689155,16.394047525421513,0.33995797435739794,0.37346545458193475,9.05815267902203
713400,514,359,78,0.6281481322762662,0.6685938235666964,16.564588137595308,0.24169230769230785,0.32733798106262263,6.801366410905257,0.4558195679559779,0.5663097407494988,13.041173837471002,1.0003909710074221,1.0498936314740936,27.786570689667293,0.25475430437710894,0.3597212246853177,7.517311156233589,0.28011746190695136,0.3892864077080524,8.238475465109046,0.6281481322762662,0.6685938235666963,16.564588137595308,0.24050858085101154,0.2639458116048512,6.306332285826699
714400,507,354,77,1.570148763665716,1.5878301387065552,82.51732690526806,1.8623549783549793,1.8772861994771812,97.5049031141183,0.6342398792960128,0.7574008838196576,33.975167539703776,2.6116932413695997,2.6230937418198343,135.7157042326786,1.6508507882682588,1.6676760747683748,86.65664742992044,1.760866483703601,1.7813079800817149,92.14923230143064,2.4156256563417484,2.426683110423588,125.82770382305672,1.602386036241117,1.605125386289707,78.72320633478492
715400,510,357,77,0.7968199643493771,0.838962332390932,37.88640301603609,1.0509740259740266,1.0832738078884507,49.298368993033016,0.906834798699746,0.9442169685264462,42.82838302043662,1.9952007270039729,2.0221673206294994,91.55705097698953,0.9400380258417506,0.9760112506931965,44.31693443229884,1.2134101035914509,1.2568829635012642,56.36021064007578,1.4880086956211578,1.51120701970462,68.92073875954647,0.6978650133719242,0.7190756176646252,31.25652598307984
716400,514,359,78,1.299225198200128,1.3224349669722526,67.21346022122728,1.6725641025641016,1.6906563232717642,85.9604255286808,1.5401445090011374,1.5597877564575142,79.3073754537342,2.433551320868841,2.4477116170857935,123.99773888814738,1.7680087558355062,1.7851232193073365,90.75261700278676,1.8706221396925236,1.8869580158281936,95.46854075088879,2.3347789030935515,2.3484489161543807,119.22844606481544,1.5151788856284785,1.52034254968818,75.81789352774932
