sample_idx,mile,Full Model,-Seasonal,-Degradation,Anchor Only
3,733400,0.1603510266322159,0.2064371980676328,0.1603510266322159,0.2064371980676328
10,713400,0.22158611293082414,0.23703703703703713,0.22158611293082414,0.23703703703703713
19,712400,0.18068472101181826,0.1884722222222223,0.18068472101181826,0.1884722222222223
29,1026400,0.2879182854269065,0.24183789954337864,0.2879182854269065,0.24183789954337864
30,1033400,0.2251129349660755,0.18493150684931506,0.2251129349660755,0.18493150684931506
38,1018400,0.40177984871144534,0.3835648148148152,0.40177984871144534,0.3835648148148152
