sample_idx,mile,n_clean,Data Driven,Moving Avg,Holt Exp,LSTM,TimeMixer,Trident,vs_best_baseline
3,733400,460,0.32563250517598535,0.2064371980676328,0.39651220178624375,0.2275724728382841,0.25556935817805426,0.1603510266322159,22.324548030495063
10,713400,479,0.5923223051409608,0.23703703703703713,0.2874116615387509,0.25311694993996714,0.28604075916712707,0.22158611293082414,6.518358607308601
19,712400,478,0.5633393213572877,0.1884722222222223,0.28831894008978737,0.21364569917104637,0.2951628317439202,0.18068472101181826,4.131909264178997
29,1026400,483,1.3567637999513635,0.24183789954337864,1.649245459849402,0.27341452398926835,0.6079357263155989,0.2879182854269065,-19.05424500069411
30,1033400,484,1.0191371889438268,0.18493150684931506,2.1381465856213095,0.20667769198787264,0.391214823520935,0.2251129349660755,-21.727735203877877
38,1018400,477,1.628671171171169,0.3835648148148152,0.9969443991609336,0.34958999719022116,0.7531681681681677,0.40177984871144534,-4.748880291698381
