tqi_mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,time_span_days
705400,473,5.427306553911205,1.7498815181136602,1.57,12.687,2012-12-12,2026-03-19,4845
707400,482,5.942147302904564,2.3373458011293833,2.34,51.46,2012-12-12,2026-03-19,4845
708400,486,4.138681069958848,0.9113152742063196,2.0,14.34,2012-12-12,2026-03-19,4845
709400,486,4.05408024691358,0.787217702464146,1.7,7.845,2012-12-12,2026-03-19,4845
710400,402,4.43010447761194,1.1512536153310524,2.0,13.523,2012-12-12,2026-03-19,4845
711400,489,3.193032719836401,1.086421277198753,1.3,21.447,2012-12-12,2026-03-19,4845
712400,489,3.2941083844580774,0.4549948100398106,1.78,8.497,2012-12-12,2026-03-19,4845
713400,489,3.373881390593047,0.7168950141497822,1.67,15.6,2012-12-12,2026-03-19,4845
714400,485,3.3083195876288656,0.7628546153636667,1.1,5.37,2012-12-12,2026-03-19,4845
715400,488,2.9922581967213113,0.6750196551510729,1.1,13.381,2012-12-12,2026-03-19,4845
716400,489,3.1597709611451945,0.6596684592446649,1.1,4.43,2012-12-12,2026-03-19,4845
717400,489,3.1795480572597135,0.5535502167467351,1.4,4.31,2012-12-12,2026-03-19,4845
718400,489,3.287235173824131,0.7046365938666572,1.1,4.7,2012-12-12,2026-03-19,4845
719400,489,2.767910020449898,0.48889045095463946,1.1,4.19,2012-12-12,2026-03-19,4845
720400,487,2.799595482546201,0.5349937027244893,0.8,4.09,2012-12-12,2026-03-19,4845
721400,487,3.4557227926078027,0.9029209955652346,1.0,7.57,2012-12-12,2026-03-19,4845
722400,489,3.8028098159509205,0.7384884142193678,1.5,5.964,2012-12-12,2026-03-19,4845
723400,489,2.831312883435583,0.5541419173896405,0.9,4.89,2012-12-12,2026-03-19,4845
724400,488,2.698358606557377,0.5403302819964909,1.0,6.374,2012-12-12,2026-03-19,4845
725400,489,2.7465725971370145,0.5746345447197281,0.8,7.42,2012-12-12,2026-03-19,4845
726400,488,3.3554323770491803,0.4350093434490488,1.7,4.4,2012-12-12,2026-03-19,4845
727400,488,3.4509221311475415,0.6053445046280125,1.6,6.35,2012-12-12,2026-03-19,4845
728400,488,3.685604508196721,0.7296970942968183,1.3,4.95,2012-12-12,2026-03-19,4845
729400,489,2.94380981595092,0.5114579075690638,0.9,4.01,2012-12-12,2026-03-19,4845
730400,490,3.0158061224489794,0.509681621183915,1.3,6.0,2012-12-12,2026-03-19,4845
