tqi_mile,record_count,tqi_mean,tqi_std,tqi_min,tqi_max,date_min,date_max,unique_months,time_span_days,expected_months,monthly_coverage
705400.0,436,5.441183486238532,1.7824607008749016,1.57,12.687,2012-12-12,2026-03-19,155,4845,162,0.9567901234567902
707400.0,444,5.943862612612612,2.4271851864172547,2.34,51.46,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
708400.0,446,4.150625560538117,0.945172503687666,2.0,14.34,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
709400.0,447,4.03810514541387,0.8125918037934556,1.7,7.845,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
711400.0,448,3.190207589285714,1.133079231641447,1.3,21.447,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
712400.0,448,3.317765625,0.4652258175086218,1.78,8.497,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
713400.0,448,3.4021160714285714,0.7354499907934826,1.86,15.6,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
714400.0,446,3.2918273542600898,0.7882197373804657,1.1,5.37,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
715400.0,448,2.9919910714285716,0.699860500584255,1.1,13.381,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
716400.0,448,3.1507098214285714,0.6788955833905328,1.1,4.43,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
717400.0,448,3.1728325892857145,0.567623272923729,1.4,4.31,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
718400.0,448,3.2807767857142855,0.7249809681657999,1.1,4.7,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
719400.0,448,2.7669598214285713,0.4994671999648065,1.1,4.19,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
720400.0,447,2.789917225950783,0.544735941990543,0.8,4.09,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
721400.0,447,3.4446241610738255,0.926291565710501,1.0,7.57,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
722400.0,448,3.7817276785714284,0.7464281399979026,1.5,5.964,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
723400.0,448,2.823575892857143,0.5664669487894155,0.9,4.89,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
724400.0,448,2.6944843749999996,0.553367874229781,1.0,6.374,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
725400.0,448,2.7503214285714286,0.5900336882550072,0.8,7.42,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
726400.0,447,3.3678322147651008,0.4336367081497477,1.7,4.4,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
727400.0,447,3.462438478747204,0.6140985519609616,1.6,6.35,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
728400.0,447,3.680190156599553,0.7498827783381763,1.3,4.95,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
729400.0,448,2.951859375,0.514843896196762,0.9,4.01,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
730400.0,448,3.021640625,0.5187423725551753,1.3,6.0,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
731400.0,448,3.3156808035714285,1.235853002121268,1.1,24.16,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
732400.0,448,3.035680803571428,0.6122584285612724,0.9,4.14,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
733400.0,448,3.7920066964285715,1.9826946993040988,1.949,44.69,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
734400.0,446,3.5399058295964125,2.4247041872373596,1.97,44.03,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
735400.0,447,3.218704697986577,0.5459357807716563,1.4,4.99,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
736400.0,448,3.413939732142857,2.227108673948504,1.154,44.778,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
737400.0,448,3.213752232142857,0.6699095459622094,0.0,6.79,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
738400.0,448,3.193265625,0.5856093776193824,1.5,5.055,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
739400.0,448,3.5242656250000004,0.5153028244380984,1.5,5.588,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
740400.0,447,3.4968612975391498,0.44161622596140315,1.6,5.41,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
741400.0,447,3.187648769574944,0.9204724998593717,1.2,12.7,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
742400.0,446,3.3784461883408072,1.5696280889265577,1.5,33.2,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
743400.0,448,3.1157924107142856,0.7528360691192222,1.1,10.704,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
744400.0,448,3.2946049107142854,0.6855017970810396,1.4,10.364,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
745400.0,447,3.2829686800894855,0.6411157307247917,1.6,12.337,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
746400.0,446,2.6085515695067265,0.512928482024237,1.3,10.8,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
747400.0,447,2.982480984340045,2.0449690490648287,1.4,44.52,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
748400.0,448,2.902801339285714,2.6024996697243656,1.3,52.5,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
749400.0,448,2.8123080357142856,1.9328854480959312,1.3,41.823,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
750400.0,448,2.7116160714285718,1.8144138723410979,1.3,37.969,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
751400.0,448,2.972533482142857,1.2686943274152325,1.2,26.513,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
752400.0,448,2.8979575892857143,2.1661661160891166,1.1,47.029,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
753400.0,448,2.815325892857143,0.7853315839110507,1.1,11.626,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
754400.0,448,3.353625,0.7008983353597484,1.6,5.15,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
755400.0,448,2.6579330357142856,0.8501921377670842,1.4,17.5,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
758400.0,447,2.9779664429530204,2.6208025422070826,1.4,54.68,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
759400.0,448,2.9966517857142856,1.8725676038659493,1.0,36.368,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
760400.0,448,2.773667410714286,1.0600590370670646,1.0,19.522,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
761400.0,448,2.9812946428571427,2.8402242408821734,1.3,58.623,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
762400.0,447,2.8040559284116333,2.3933986752812615,0.9,50.244,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
763400.0,448,2.937348214285714,2.3572876080974643,0.8,51.075,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
764400.0,448,3.055037946428571,0.9095962749177895,1.1,19.053,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
765400.0,448,3.002517857142857,1.3780196550495138,1.2,29.402,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
766400.0,448,2.865872767857143,1.8932615288010166,1.2,41.323,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
767400.0,448,2.992703125,1.287651210916433,1.2,25.696,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
768400.0,445,3.5493303370786515,0.6913294876189374,1.8,6.4,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
769400.0,448,3.64059375,2.471716273755429,1.3,54.16,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
770400.0,448,3.1056294642857147,1.2693581658554345,1.78,28.56,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
771400.0,448,2.6535892857142858,0.6974066509239468,1.2,14.1,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
772400.0,448,2.633252232142857,0.6685281213145001,1.3,13.575,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
773400.0,448,3.436008928571429,0.573543415215539,1.83,6.7,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
774400.0,449,3.313853006681515,0.8026262949942292,1.67,6.3,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
775400.0,449,3.68204008908686,0.626431498646437,2.3,5.11,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
776400.0,449,3.0182561247216038,1.0633087043617935,1.55,22.3,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
777400.0,449,3.291581291759466,0.7898139463365991,1.43,6.09,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
778400.0,449,2.8046859688195993,0.4675188707077668,1.1,4.173,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
779400.0,449,2.83160579064588,0.5939429108135555,1.0,4.23,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
780400.0,449,2.656100222717149,0.4164876318959203,1.0,3.94,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
781400.0,449,2.9778953229398666,0.5807148498067798,1.2,4.4,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
782400.0,448,2.9332901785714287,0.5912418778415598,1.1,4.52,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
783400.0,449,2.8565389755011137,0.5995048209026806,1.0,4.26,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
784400.0,445,3.6106741573033707,1.609252701162878,1.8,35.1,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
785400.0,440,3.809893181818182,2.090784514496459,2.08,44.1,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
786400.0,449,3.245305122494432,0.6469949926635735,1.8,6.1,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
787400.0,449,3.050075723830735,0.576414505155016,1.56,4.7,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
788400.0,449,3.144507795100223,0.6082584701987841,1.3,6.452,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
789400.0,449,2.975518930957684,0.7288012388398964,1.1,5.38,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
790400.0,449,2.932293986636971,0.6485777076366589,1.1,6.05,2012-12-12,2026-03-19,157,4845,162,0.9691358024691358
791400.0,448,3.095946428571428,0.5986663192271022,1.4,5.914,2012-12-12,2026-03-19,156,4845,162,0.9629629629629629
