tqi_mile,original_count,clean_count,time_span_days,tqi_mean,tqi_std,seasonal_amplitude,data_driven_mae,rolling_anchor_mae,post_maintenance_mae,best_strategy,trident_improvement,is_trident_effective,best_trident_mae
240400,253,232,2623,1.462155172413793,0.1008518353844046,0.1568055555555556,0.0728783068783069,0.047235038130802,0.1135709411664979,rolling_anchor,35.18642219601008,True,0.047235038130802
132400,183,167,1860,1.4340119760479042,0.072867761726869,0.0867857142857144,0.0591649763353617,0.0486264472699563,0.0487686741363211,rolling_anchor,17.812107294136965,True,0.0486264472699563
106400,183,168,1860,1.4326785714285717,0.0771224488259872,0.1273214285714285,0.0598240321769734,0.0511026793595998,0.0521171067494597,rolling_anchor,14.57834335133706,True,0.0511026793595998
413400,259,243,2627,2.042098765432099,0.1251582408249789,0.1312865497076025,0.0917461724415793,0.052602945274115,0.0910680174653897,rolling_anchor,42.66469774789709,True,0.052602945274115
149400,183,160,1787,1.630375,0.0866489156954371,0.1775,0.0662946428571429,0.0570063330113734,0.0536428571428571,post_maintenance,19.0841750841751,True,0.0536428571428571
353400,253,228,2627,1.8568421052631576,0.0777584171340692,0.1122222222222224,0.065375991249658,0.0623514848660717,0.0583440126351278,post_maintenance,10.756209550500586,True,0.0583440126351278
415400,259,237,2627,2.342278481012659,0.1297744069375313,0.1148484848484847,0.1084444444444444,0.0621139145509615,0.0682256669960474,rolling_anchor,42.72282469685925,True,0.0621139145509615
331400,250,243,2627,1.6290946502057613,0.1239601512724667,0.2257368421052628,0.1104794520547945,0.0632489858813028,0.0883022505779746,rolling_anchor,42.7504529530675,True,0.0632489858813028
165400,183,180,1879,1.5275555555555551,0.1167991267196931,0.2096428571428572,0.0972392727272727,0.0640928647822766,0.1425717748917752,rolling_anchor,34.087470026603285,True,0.0640928647822766
210400,253,244,2627,1.578360655737705,0.1053691192198404,0.1534999999999999,0.0980158982511921,0.064254940175993,0.0667262854708676,rolling_anchor,34.444369411049564,True,0.064254940175993
330400,251,242,2627,1.5613223140495869,0.131325462155633,0.1538888888888887,0.1438080570641159,0.0684611567558226,0.1430875916379966,rolling_anchor,52.39407432832529,True,0.0684611567558226
314400,251,243,2627,1.6886831275720162,0.107353178630531,0.1300000000000001,0.1140008058017727,0.0696244643331065,0.1107392645188873,rolling_anchor,38.92634017502365,True,0.0696244643331065
338400,252,245,2627,1.9210204081632656,0.1312556774409718,0.2984210526315791,0.1090406195669357,0.0700035061250298,0.0735766997078211,rolling_anchor,35.800524242199955,True,0.0700035061250298
312400,251,244,2627,1.6258196721311478,0.1280003868559896,0.126857142857143,0.1449920508744038,0.0724555295967835,0.1416142615802226,rolling_anchor,50.02792969695524,True,0.0724555295967835
546400,260,250,2627,1.83008,0.10982275607088,0.0943333333333333,0.086439619047619,0.0726230942315239,0.0859022764996678,rolling_anchor,15.98401863442226,True,0.0726230942315239
245400,253,245,2627,1.5934285714285714,0.1081688116014902,0.1469444444444443,0.0849928876244666,0.0749158679244491,0.185602256741273,rolling_anchor,11.856309370899206,True,0.0749158679244491
311400,251,241,2627,1.5676348547717844,0.1089180094386736,0.1166666666666667,0.1001712328767123,0.0750645642400898,0.1073640308922902,rolling_anchor,25.063751254337628,True,0.0750645642400898
220400,253,243,2627,1.6574897119341565,0.139170635562281,0.1552499999999999,0.1180088638195002,0.0763020480504364,0.1061183804779695,rolling_anchor,35.34210432943088,True,0.0763020480504364
204400,253,232,2620,1.4896120689655172,0.1080417004271901,0.1082499999999999,0.0913809523809523,0.0767415317979043,0.0907313869992441,rolling_anchor,16.02021012214736,True,0.0767415317979043
317400,252,245,2627,1.6128979591836734,0.1188821300973099,0.2179999999999999,0.1233033033033034,0.0771064056950278,0.1494412169346377,rolling_anchor,37.466066496726135,True,0.0771064056950278
418400,259,253,2627,1.8030434782608693,0.1821014513350453,0.1402380952380952,0.1560764198632175,0.0784478663466341,0.1504083370829125,rolling_anchor,49.73752831120525,True,0.0784478663466341
282400,251,241,2627,1.6914937759336102,0.1134030834505816,0.162380952380952,0.100077462491846,0.0798307953987316,0.1265704081635124,rolling_anchor,20.23099565975112,True,0.0798307953987316
91400,183,182,1879,1.5177472527472526,0.1123819546087924,0.24625,0.1065898353614889,0.0827418932147742,0.0803244588744588,post_maintenance,24.641539597048475,True,0.0803244588744588
336400,252,245,2627,1.7157142857142855,0.1562941740835499,0.3295263157894734,0.1455587166113483,0.0809333771087641,0.0865935940383307,rolling_anchor,44.398124005955815,True,0.0809333771087641
271400,252,243,2627,1.806707818930041,0.139473126875502,0.268796992481203,0.1145181305398872,0.0816984858014534,0.159388320581531,rolling_anchor,28.65890718238945,True,0.0816984858014534
374400,257,245,2627,1.7880816326530613,0.1265526257305265,0.3109999999999999,0.0984226331594751,0.081845522967814,0.324164193085246,rolling_anchor,16.84278266036743,True,0.081845522967814
308400,251,245,2627,1.7114285714285713,0.1437438523275594,0.2105000000000001,0.1558163426584477,0.0820255721645377,0.0994265161733697,rolling_anchor,47.35752953440881,True,0.0820255721645377
501400,260,252,2627,1.7950793650793648,0.1902242167554717,0.2354210526315792,0.2089712918660289,0.0827993708610052,0.5456924728856866,rolling_anchor,60.37763363491685,True,0.0827993708610052
319400,251,244,2627,1.5329098360655735,0.1253707918871426,0.2055,0.1031112877583464,0.0829246994278964,0.0977837760024122,rolling_anchor,19.57747669465612,True,0.0829246994278964
