日期,TQI值,检测日期,年份,月份,距2021年,是否异常,样本权重,年月
2015-07-15,3.64,2015-07-15,2015,7,-6,False,3.0,2015-07
2015-07-28,3.4,2015-07-28,2015,7,-6,False,3.0,2015-07
2015-08-15,3.53,2015-08-15,2015,8,-6,False,3.0,2015-08
2015-08-28,2.67,2015-08-28,2015,8,-6,False,3.0,2015-08
2015-09-22,3.2,2015-09-22,2015,9,-6,False,4.5,2015-09
2015-10-17,2.96,2015-10-17,2015,10,-6,False,1.0,2015-10
2015-10-30,3.18,2015-10-30,2015,10,-6,False,1.0,2015-10
2015-11-22,3.16,2015-11-22,2015,11,-6,False,1.0,2015-11
2015-11-28,2.92,2015-11-28,2015,11,-6,False,1.0,2015-11
2015-12-04,2.83,2015-12-04,2015,12,-6,False,1.0,2015-12
2015-12-08,2.76,2015-12-08,2015,12,-6,False,1.0,2015-12
2015-12-12,2.87,2015-12-12,2015,12,-6,False,1.0,2015-12
2015-12-18,2.79,2015-12-18,2015,12,-6,False,1.0,2015-12
2015-12-24,3.1,2015-12-24,2015,12,-6,False,1.0,2015-12
2016-01-03,2.78,2016-01-03,2016,1,-5,False,1.0,2016-01
2016-01-07,2.78,2016-01-07,2016,1,-5,False,1.0,2016-01
2016-01-12,2.78,2016-01-12,2016,1,-5,False,1.0,2016-01
2016-01-27,2.65,2016-01-27,2016,1,-5,False,1.0,2016-01
2016-02-01,2.8,2016-02-01,2016,2,-5,False,1.0,2016-02
2016-02-13,2.25,2016-02-13,2016,2,-5,False,1.0,2016-02
2016-02-18,3.09,2016-02-18,2016,2,-5,False,1.0,2016-02
2016-02-25,3.15,2016-02-25,2016,2,-5,False,1.0,2016-02
2016-03-06,3.05,2016-03-06,2016,3,-5,False,1.0,2016-03
2016-03-17,2.76,2016-03-17,2016,3,-5,False,1.0,2016-03
2016-03-24,3.36,2016-03-24,2016,3,-5,False,1.0,2016-03
2016-03-29,3.19,2016-03-29,2016,3,-5,False,1.0,2016-03
2016-04-06,3.13,2016-04-06,2016,4,-5,False,1.0,2016-04
2016-04-12,3.44,2016-04-12,2016,4,-5,False,1.0,2016-04
2016-04-18,3.14,2016-04-18,2016,4,-5,False,1.0,2016-04
2016-04-22,3.27,2016-04-22,2016,4,-5,False,1.0,2016-04
2016-04-25,3.43,2016-04-25,2016,4,-5,False,1.0,2016-04
2016-04-28,3.42,2016-04-28,2016,4,-5,False,1.0,2016-04
2016-05-03,2.6,2016-05-03,2016,5,-5,False,1.0,2016-05
2016-05-10,3.34,2016-05-10,2016,5,-5,False,1.0,2016-05
2016-06-14,3.62,2016-06-14,2016,6,-5,False,1.0,2016-06
2016-06-24,3.74,2016-06-24,2016,6,-5,False,1.0,2016-06
2016-07-06,3.81,2016-07-06,2016,7,-5,False,3.0,2016-07
2016-07-15,3.7,2016-07-15,2016,7,-5,False,3.0,2016-07
2016-08-07,3.71,2016-08-07,2016,8,-5,False,3.0,2016-08
2016-08-24,3.61,2016-08-24,2016,8,-5,False,3.0,2016-08
2016-09-08,3.51,2016-09-08,2016,9,-5,False,3.0,2016-09
2016-09-25,3.42,2016-09-25,2016,9,-5,False,3.0,2016-09
2016-10-11,3.32,2016-10-11,2016,10,-5,False,1.0,2016-10
2016-10-25,3.06,2016-10-25,2016,10,-5,False,1.0,2016-10
2016-11-06,2.42,2016-11-06,2016,11,-5,False,1.0,2016-11
2016-11-11,2.26,2016-11-11,2016,11,-5,False,1.0,2016-11
2016-11-16,3.37,2016-11-16,2016,11,-5,False,1.0,2016-11
2016-11-23,3.4,2016-11-23,2016,11,-5,False,1.0,2016-11
2016-11-27,3.24,2016-11-27,2016,11,-5,False,1.0,2016-11
2016-12-02,2.16,2016-12-02,2016,12,-5,False,1.0,2016-12
2016-12-09,3.22,2016-12-09,2016,12,-5,False,1.0,2016-12
2016-12-15,3.31,2016-12-15,2016,12,-5,False,1.0,2016-12
2016-12-22,2.43,2016-12-22,2016,12,-5,False,1.0,2016-12
2016-12-28,3.36,2016-12-28,2016,12,-5,False,1.0,2016-12
2017-01-04,3.32,2017-01-04,2017,1,-4,False,1.0,2017-01
2017-01-12,3.3,2017-01-12,2017,1,-4,False,1.0,2017-01
2017-01-21,3.09,2017-01-21,2017,1,-4,False,1.0,2017-01
2017-02-06,3.23,2017-02-06,2017,2,-4,False,1.0,2017-02
2017-02-13,3.1,2017-02-13,2017,2,-4,False,1.0,2017-02
2017-02-24,2.9,2017-02-24,2017,2,-4,False,1.0,2017-02
2017-03-02,3.29,2017-03-02,2017,3,-4,False,1.0,2017-03
2017-03-15,3.19,2017-03-15,2017,3,-4,False,1.0,2017-03
2017-03-21,3.38,2017-03-21,2017,3,-4,False,1.0,2017-03
2017-04-02,3.3,2017-04-02,2017,4,-4,False,1.0,2017-04
2017-04-07,3.6,2017-04-07,2017,4,-4,False,1.0,2017-04
2017-04-13,3.5,2017-04-13,2017,4,-4,False,1.0,2017-04
2017-04-19,3.94,2017-04-19,2017,4,-4,False,1.0,2017-04
2017-04-24,3.82,2017-04-24,2017,4,-4,False,1.0,2017-04
2017-04-28,3.58,2017-04-28,2017,4,-4,False,1.0,2017-04
2017-05-05,3.86,2017-05-05,2017,5,-4,False,1.0,2017-05
2017-05-23,2.93,2017-05-23,2017,5,-4,False,1.0,2017-05
2017-06-08,3.59,2017-06-08,2017,6,-4,False,1.0,2017-06
2017-06-26,3.6,2017-06-26,2017,6,-4,False,1.0,2017-06
2017-07-08,3.49,2017-07-08,2017,7,-4,False,3.0,2017-07
2017-07-26,3.92,2017-07-26,2017,7,-4,False,3.0,2017-07
2017-08-26,3.73,2017-08-26,2017,8,-4,False,4.5,2017-08
2017-09-08,3.69,2017-09-08,2017,9,-4,False,4.5,2017-09
2017-10-08,3.43,2017-10-08,2017,10,-4,False,1.0,2017-10
2017-10-28,3.24,2017-10-28,2017,10,-4,False,1.0,2017-10
2017-11-08,3.48,2017-11-08,2017,11,-4,False,1.0,2017-11
2017-11-16,3.4,2017-11-16,2017,11,-4,False,1.0,2017-11
2017-11-20,3.3,2017-11-20,2017,11,-4,False,1.0,2017-11
2017-11-23,3.24,2017-11-23,2017,11,-4,False,1.0,2017-11
2017-11-26,3.28,2017-11-26,2017,11,-4,False,1.0,2017-11
2017-11-30,3.39,2017-11-30,2017,11,-4,False,1.0,2017-11
2017-12-03,3.25,2017-12-03,2017,12,-4,False,1.0,2017-12
2017-12-07,3.2,2017-12-07,2017,12,-4,False,1.0,2017-12
2017-12-10,3.35,2017-12-10,2017,12,-4,False,1.0,2017-12
2017-12-13,3.33,2017-12-13,2017,12,-4,False,1.0,2017-12
2017-12-17,3.04,2017-12-17,2017,12,-4,False,1.0,2017-12
2017-12-23,3.05,2017-12-23,2017,12,-4,False,1.0,2017-12
2018-01-05,3.25,2018-01-05,2018,1,-3,False,1.0,2018-01
2018-01-18,3.17,2018-01-18,2018,1,-3,False,1.0,2018-01
2018-01-30,3.39,2018-01-30,2018,1,-3,False,1.0,2018-01
2018-02-05,3.42,2018-02-05,2018,2,-3,False,1.0,2018-02
2018-02-13,3.0,2018-02-13,2018,2,-3,False,1.0,2018-02
2018-02-23,2.11,2018-02-23,2018,2,-3,False,1.0,2018-02
2018-03-11,3.13,2018-03-11,2018,3,-3,False,1.0,2018-03
2018-03-16,2.34,2018-03-16,2018,3,-3,False,1.0,2018-03
2018-03-21,3.43,2018-03-21,2018,3,-3,False,1.0,2018-03
2018-03-26,2.92,2018-03-26,2018,3,-3,False,1.0,2018-03
2018-03-30,3.68,2018-03-30,2018,3,-3,False,1.0,2018-03
2018-04-03,3.78,2018-04-03,2018,4,-3,False,1.0,2018-04
2018-04-08,3.41,2018-04-08,2018,4,-3,False,1.0,2018-04
2018-04-12,3.42,2018-04-12,2018,4,-3,False,1.0,2018-04
2018-04-17,3.12,2018-04-17,2018,4,-3,False,1.0,2018-04
2018-04-23,2.51,2018-04-23,2018,4,-3,False,1.0,2018-04
2018-04-28,3.4,2018-04-28,2018,4,-3,False,1.0,2018-04
2018-05-04,3.73,2018-05-04,2018,5,-3,False,1.0,2018-05
2018-05-09,3.83,2018-05-09,2018,5,-3,False,1.0,2018-05
2018-05-19,3.77,2018-05-19,2018,5,-3,False,1.0,2018-05
2018-06-15,3.87,2018-06-15,2018,6,-3,False,1.0,2018-06
2018-06-22,3.7,2018-06-22,2018,6,-3,False,1.0,2018-06
2018-07-01,3.67,2018-07-01,2018,7,-3,False,3.0,2018-07
2018-07-19,3.39,2018-07-19,2018,7,-3,False,3.0,2018-07
2018-08-04,3.61,2018-08-04,2018,8,-3,False,3.0,2018-08
2018-08-23,3.63,2018-08-23,2018,8,-3,False,3.0,2018-08
2018-09-05,3.63,2018-09-05,2018,9,-3,False,3.0,2018-09
2018-09-23,4.36,2018-09-23,2018,9,-3,False,3.0,2018-09
2018-10-05,3.56,2018-10-05,2018,10,-3,False,1.0,2018-10
2018-10-19,3.38,2018-10-19,2018,10,-3,False,1.0,2018-10
2018-11-10,3.37,2018-11-10,2018,11,-3,False,1.0,2018-11
2018-11-15,3.33,2018-11-15,2018,11,-3,False,1.0,2018-11
2018-11-20,3.52,2018-11-20,2018,11,-3,False,1.0,2018-11
2018-11-24,3.28,2018-11-24,2018,11,-3,False,1.0,2018-11
2018-11-28,3.5,2018-11-28,2018,11,-3,False,1.0,2018-11
2018-12-03,3.21,2018-12-03,2018,12,-3,False,1.0,2018-12
2018-12-07,3.71,2018-12-07,2018,12,-3,False,1.0,2018-12
2018-12-12,3.36,2018-12-12,2018,12,-3,False,1.0,2018-12
2018-12-16,3.25,2018-12-16,2018,12,-3,False,1.0,2018-12
2018-12-21,2.19,2018-12-21,2018,12,-3,False,1.0,2018-12
2018-12-25,3.31,2018-12-25,2018,12,-3,False,1.0,2018-12
2018-12-29,3.28,2018-12-29,2018,12,-3,False,1.0,2018-12
2019-01-02,3.07,2019-01-02,2019,1,-2,False,1.0,2019-01
2019-01-07,3.22,2019-01-07,2019,1,-2,False,1.0,2019-01
2019-01-12,3.2,2019-01-12,2019,1,-2,False,1.0,2019-01
2019-01-18,3.46,2019-01-18,2019,1,-2,False,1.0,2019-01
2019-01-23,3.32,2019-01-23,2019,1,-2,False,1.0,2019-01
2019-01-28,3.32,2019-01-28,2019,1,-2,False,1.0,2019-01
2019-02-01,3.2,2019-02-01,2019,2,-2,False,1.0,2019-02
2019-02-10,3.13,2019-02-10,2019,2,-2,False,1.0,2019-02
2019-02-15,3.12,2019-02-15,2019,2,-2,False,1.0,2019-02
2019-02-21,3.25,2019-02-21,2019,2,-2,False,1.0,2019-02
2019-02-26,3.47,2019-02-26,2019,2,-2,False,1.0,2019-02
2019-03-04,3.45,2019-03-04,2019,3,-2,False,1.0,2019-03
2019-03-10,3.69,2019-03-10,2019,3,-2,False,1.0,2019-03
2019-03-16,3.75,2019-03-16,2019,3,-2,False,1.0,2019-03
2019-03-22,3.67,2019-03-22,2019,3,-2,False,1.0,2019-03
2019-03-28,4.01,2019-03-28,2019,3,-2,False,1.0,2019-03
2019-04-02,3.85,2019-04-02,2019,4,-2,False,1.0,2019-04
2019-04-09,3.9,2019-04-09,2019,4,-2,False,1.0,2019-04
2019-04-15,3.66,2019-04-15,2019,4,-2,False,1.0,2019-04
2019-04-21,3.79,2019-04-21,2019,4,-2,False,1.0,2019-04
2019-04-26,4.04,2019-04-26,2019,4,-2,False,1.0,2019-04
2019-05-05,4.15,2019-05-05,2019,5,-2,False,1.0,2019-05
2019-05-14,3.72,2019-05-14,2019,5,-2,False,1.0,2019-05
2019-05-24,3.24,2019-05-24,2019,5,-2,False,1.0,2019-05
2019-06-06,4.24,2019-06-06,2019,6,-2,False,1.0,2019-06
2019-06-23,3.98,2019-06-23,2019,6,-2,False,1.0,2019-06
2019-07-23,3.71,2019-07-23,2019,7,-2,False,4.5,2019-07
2019-08-06,3.76,2019-08-06,2019,8,-2,False,3.0,2019-08
2019-08-23,3.77,2019-08-23,2019,8,-2,False,3.0,2019-08
2019-09-09,3.67,2019-09-09,2019,9,-2,False,3.0,2019-09
2019-09-21,3.68,2019-09-21,2019,9,-2,False,3.0,2019-09
2019-10-07,3.22,2019-10-07,2019,10,-2,False,1.0,2019-10
2019-10-21,3.7,2019-10-21,2019,10,-2,False,1.0,2019-10
2019-11-06,3.66,2019-11-06,2019,11,-2,False,1.0,2019-11
2019-11-18,2.95,2019-11-18,2019,11,-2,False,1.0,2019-11
