tqi_mile,original_count,clean_count,time_span_days,tqi_mean,tqi_std,seasonal_amplitude,data_driven_mae,rolling_anchor_mae,post_maintenance_mae,best_strategy,trident_improvement,is_trident_effective,best_mae
1184400,509,460,4845,2.6060978260869563,0.2215472851549618,0.3415230263157895,0.1520510396975425,0.1603069244023892,0.1269978579178234,post_maintenance,16.47682372284633,True,0.1269978579178234
1191400,508,506,4845,2.2622055335968376,0.4733388350027852,0.4835833333333332,0.3624785905441571,0.1570318241830745,0.582940831704284,rolling_anchor,56.67831748425846,True,0.1570318241830745
733400,514,484,4845,3.694729338842975,0.3198247564386346,0.5650180180180184,0.3026734214152544,0.1607234098710766,0.4034663560622024,rolling_anchor,46.8987368895628,True,0.1607234098710766
734400,513,482,4845,3.357321576763485,0.3076303744901389,0.4951768707482991,0.2470796889389132,0.1613507791459634,0.2465507993105936,rolling_anchor,34.69686648915321,True,0.1613507791459634
1213400,508,486,4845,2.540944444444445,0.3496452915411663,0.522995475113122,0.2701311039484286,0.2041462689944789,0.163076840505819,post_maintenance,39.63048381982978,True,0.163076840505819
1190400,508,507,4845,2.2361360946745563,0.7607291431697107,0.6328494623655914,0.6785538384845461,0.1902669752421356,0.6322168411357828,rolling_anchor,71.95992941885495,True,0.1902669752421356
811400,515,491,4845,3.1909327902240325,0.3271877286197354,0.5536499999999998,0.2533631707509255,0.1918471941149148,1.067019388368538,rolling_anchor,24.279762703351004,True,0.1918471941149148
910400,514,476,4845,3.029182773109244,0.2616442627077319,0.3050277777777777,0.2484306894306895,0.1933520442050423,0.2025055026808535,rolling_anchor,22.17062849677184,True,0.1933520442050423
879400,514,454,4824,3.0221431718061678,0.2608411325967908,0.4300312499999998,0.3007877455156694,0.2257571519284638,0.1937396118935326,post_maintenance,35.58926027342431,True,0.1937396118935326
713400,514,506,4845,3.3383418972332017,0.4405339151524678,0.4481481481481482,0.5596962533452274,0.1944575245511268,1.281074554706898,rolling_anchor,65.25659705797904,True,0.1944575245511268
830400,513,478,4845,3.221692468619247,0.2475522171072836,0.300893103448276,0.2259673985362608,0.2337331103650958,0.2017469753177997,post_maintenance,10.718547620299477,True,0.2017469753177997
821400,514,456,4558,3.304412280701755,0.3218045768708188,0.5001960297766748,0.3520916184243643,0.2024075756693939,1.1348062784292876,rolling_anchor,42.51281056470966,True,0.2024075756693939
832400,511,489,4845,3.474114519427403,0.3349691311533638,0.4102928571428572,0.2614609937542268,0.2032243304003592,0.8153565629783319,rolling_anchor,22.2735569530536,True,0.2032243304003592
812400,515,489,4845,3.026529652351738,0.3426116481302264,0.4535765765765767,0.3818702112423921,0.2109438100794657,1.167366492276523,rolling_anchor,44.76033901854441,True,0.2109438100794657
