mile,original_count,cleaned_count,outliers_removed,original_mean,new_mean,original_std,new_std
1184400,509,460,49,2.550322200392928,2.6060978260869554,0.5012299069335324,0.2215472851549618
1191400,508,506,2,2.272942913385826,2.2622055335968376,0.5061390718451798,0.47333883500278523
733400,514,484,30,3.7215350194552506,3.6947293388429725,1.8703366908067316,0.3198247564386346
734400,513,482,31,3.4731539961013618,3.357321576763484,2.275878842455318,0.30763037449013897
1213400,508,486,22,2.5125374015748005,2.5409444444444413,0.4510572246402204,0.34964529154116636
1190400,508,507,1,2.2414665354330734,2.2361360946745585,0.7694163371440115,0.7607291431697107
811400,515,491,24,3.1638776699029125,3.1909327902240334,0.5165587481198548,0.3271877286197354
910400,514,476,38,2.981852140077822,3.029182773109244,0.46919278024538863,0.26164426270773194
879400,514,454,60,2.9238093385213997,3.0221431718061664,0.518587655618407,0.2608411325967908
713400,514,506,8,3.346357976653695,3.3383418972332004,0.7194368305031352,0.4405339151524678
830400,513,478,35,3.1582768031189103,3.2216924686192505,0.43629632789009926,0.24755221710728367
821400,514,456,58,3.161601167315175,3.304412280701754,0.6223207762999876,0.32180457687081887
832400,511,489,22,3.4510352250489253,3.4741145194274052,0.5153779259920822,0.33496913115336385
812400,515,489,26,2.9871456310679627,3.0265296523517398,0.5435893106679983,0.3426116481302264
1189400,508,506,2,2.8772480314960602,2.8557114624505915,0.7182786825287314,0.6321473538481854
745400,513,485,28,3.2273625730994167,3.250185567010311,0.643246730706998,0.3536135108851394
1037400,509,509,0,2.784970530451865,2.784970530451865,0.5847761543570662,0.5847761543570662
1208400,506,503,3,2.7726679841897206,2.766149105367791,0.5915619938075067,0.5653946931111062
712400,514,508,6,3.2769046692606976,3.2800236220472407,0.4532998016683666,0.36856253558407776
1209400,506,503,3,2.61005533596838,2.58434393638171,0.7094658769773452,0.6088090874634671
930400,513,479,34,2.8091637426900595,2.854482254697286,0.44727080863942476,0.2636378887791484
936400,515,480,35,2.7707708737864083,2.8355437500000007,0.4864406237897596,0.2582913224786022
1010400,511,509,2,3.2174618395303334,3.1687544204322204,1.215363887254712,0.699600668298543
1023400,508,472,36,3.1771948818897644,3.24751059322034,0.42696560127021166,0.2679214240857726
883400,486,480,6,3.6225144032921825,3.627504166666668,0.5356270463501709,0.4987750422586293
881400,512,457,55,2.8940019531249996,3.0173719912472654,0.5376555343129941,0.35190754854444556
892400,515,497,18,3.093586407766989,3.1309154929577456,0.479880199270055,0.37191786199370447
895400,515,511,4,2.679844660194171,2.6270782778864943,1.033206104898742,0.48746629620824994
1026400,510,509,1,2.948815686274513,2.9410019646365457,0.7810959942345455,0.7616514938130357
1033400,511,510,1,2.9553326810176097,2.9470725490196052,0.7664830267414916,0.7441213147545737
913400,514,477,37,2.5104805447470806,2.5266498951781964,0.4161404918744155,0.27195781978191985
893400,515,507,8,2.920052427184469,2.919988165680475,0.5856464644243449,0.5271635411038573
861400,512,467,45,3.0761933593749995,3.141190578158457,0.9368023200254848,0.35724232899780595
1212400,508,504,4,2.9760688976377945,2.9759166666666665,0.5636270791894464,0.5440913714415412
820400,513,459,54,2.9538362573099435,3.0420588235294153,0.6636623445028088,0.35389486452173535
898400,514,497,17,2.934628404669262,2.885336016096581,1.6538766132638656,0.36554288748566094
814400,513,496,17,3.366692007797269,3.3987459677419336,0.5373056140822289,0.4220284302547685
1018400,505,503,2,2.8746990099009873,2.860934393638168,0.915861586125051,0.8911710533252529
1011400,505,504,1,3.1289920792079235,3.08536904761905,1.402167153419168,1.0035295696348447
