mile,original_count,cleaned_count,removed_iqr,removed_dense,total_removed,original_mean,new_mean,original_std,new_std
1184400,509,449,49,11,60,2.550322200392928,2.606024498886415,0.5012299069335324,0.2234579934683327
1191400,508,482,2,24,26,2.272942913385826,2.268684647302904,0.5061390718451798,0.4755906319540726
733400,514,460,30,24,54,3.7215350194552506,3.710606521739128,1.8703366908067316,0.3181264590789154
734400,513,458,31,24,55,3.4731539961013618,3.3670720524017455,2.275878842455318,0.31033328107719493
1213400,508,462,22,24,46,2.5125374015748005,2.5650627705627684,0.4510572246402204,0.331944802338706
1190400,508,483,1,24,25,2.2414665354330734,2.2238944099378912,0.7694163371440115,0.7697441936659083
811400,515,462,24,29,53,3.1638776699029125,3.1796493506493526,0.5165587481198548,0.30261018213448243
910400,514,453,38,23,61,2.981852140077822,3.035167770419428,0.46919278024538863,0.26595352432436187
879400,514,431,60,23,83,2.9238093385213997,3.0266890951276086,0.518587655618407,0.2657230519218603
713400,514,479,8,27,35,3.346357976653695,3.360022964509393,0.7194368305031352,0.43649437143176506
830400,513,455,35,23,58,3.1582768031189103,3.2112945054945086,0.43629632789009926,0.24505213207949092
821400,514,433,58,23,81,3.161601167315175,3.312221709006926,0.6223207762999876,0.3275108660762242
832400,511,459,22,30,52,3.4510352250489253,3.4634684095860595,0.5153779259920822,0.3169736268420512
812400,515,466,26,23,49,2.9871456310679627,3.0367017167381984,0.5435893106679983,0.34648569781846034
1189400,508,482,2,24,26,2.8772480314960602,2.8622199170124465,0.7182786825287314,0.6380002552948816
745400,513,461,28,24,52,3.2273625730994167,3.2656399132321052,0.643246730706998,0.35536028938675174
1037400,509,483,0,26,26,2.784970530451865,2.7963354037267076,0.5847761543570662,0.589162091667903
1208400,506,479,3,24,27,2.7726679841897206,2.77898329853862,0.5915619938075067,0.5697520672454989
712400,514,478,6,30,36,3.2769046692606976,3.300715481171544,0.4532998016683666,0.36607332010506444
1209400,506,479,3,24,27,2.61005533596838,2.5906784968684753,0.7094658769773452,0.6158198951653135
930400,513,456,34,23,57,2.8091637426900595,2.8497521929824563,0.44727080863942476,0.26807148053550744
936400,515,457,35,23,58,2.7707708737864083,2.8248599562363252,0.4864406237897596,0.2587443491933143
1010400,511,481,2,28,30,3.2174618395303334,3.1669085239085244,1.215363887254712,0.6943240417470974
1023400,508,452,36,20,56,3.1771948818897644,3.2420464601769905,0.42696560127021166,0.27221193820271816
883400,486,450,6,30,36,3.6225144032921825,3.616893333333334,0.5356270463501709,0.49696461915802165
881400,512,434,55,23,78,2.8940019531249996,3.027831797235023,0.5376555343129941,0.3572756962678048
892400,515,467,18,30,48,3.093586407766989,3.126413276231263,0.479880199270055,0.3617009922659821
895400,515,481,4,30,34,2.679844660194171,2.6163555093555066,1.033206104898742,0.49009106765966687
1026400,510,483,1,26,27,2.948815686274513,2.94219461697723,0.7810959942345455,0.7717685779942468
1033400,511,484,1,26,27,2.9553326810176097,2.966254132231403,0.7664830267414916,0.7510561421477342
913400,514,454,37,23,60,2.5104805447470806,2.5278017621145374,0.4161404918744155,0.2764143726859218
893400,515,477,8,30,38,2.920052427184469,2.8940545073375272,0.5856464644243449,0.5175989057898106
861400,512,437,45,30,75,3.0761933593749995,3.146146453089244,0.9368023200254848,0.3489937784565527
1212400,508,480,4,24,28,2.9760688976377945,2.9967125,0.5636270791894464,0.5409728967332836
820400,513,436,54,23,77,2.9538362573099435,3.0524885321100945,0.6636623445028088,0.3588531763368352
898400,514,467,17,30,47,2.934628404669262,2.8861070663811565,1.6538766132638656,0.3621077088437035
814400,513,466,17,30,47,3.366692007797269,3.379888412017166,0.5373056140822289,0.3972574046960736
1018400,505,477,2,26,28,2.8746990099009873,2.863165618448635,0.915861586125051,0.9074668708402354
1011400,505,476,1,28,29,3.1289920792079235,3.0548550420168077,1.402167153419168,0.9963647704455686
