Method,Wins,Losses,Ties,Win_Rate,Mean_Diff,T_Statistic,T_PValue,Significant_05
Trident_v21,35,7,30,48.61111111111111,0.14242274330583046,4.690129374368299,1.2862496313095478e-05,Yes
Trident_v23_full,40,32,0,55.55555555555556,0.08581411491497357,1.9110566314816309,0.06003480070908918,No
Trident_v23_no_seasonal,29,24,19,40.27777777777778,0.07016001326045102,1.5628188860618193,0.12254177869284069,No
MLP,48,24,0,66.66666666666666,0.055473961545669616,1.808161401517387,0.07481628357315027,No
Holt_Winters,0,0,72,0.0,0.0,,,No
LSTM,29,43,0,40.27777777777778,-0.014314180794439222,-1.4481223825811982,0.1519845901430436,No
TimeMixer,31,41,0,43.05555555555556,-0.056063494528103136,-1.2443167176041843,0.2174751399026199,No
Moving_Average,25,47,0,34.72222222222222,-0.07151072212806861,-1.5948817172807102,0.11518080923829499,No
