mile,MAE,MSE,RMSE,MAPE,Std
891400,0.5252721600998225,0.36935396296996414,0.6077449818550246,21.25970243364273,0.38923473078798193
960400,0.5946996208667269,0.5193437361853376,0.7206550743492601,25.984602007395026,0.40703328749170964
1156400,0.6026718954248363,0.3963795035003627,0.6295867720182522,28.76753693275549,0.18211559506367903
885400,0.7000588235294115,0.5982007058823526,0.7734343578367544,19.521241678501426,0.332297626838905
915400,0.7265541125541128,0.5992491062011586,0.7741118176343509,34.53852700558816,0.26714832533980837
749400,0.7379695273631842,0.5922885170589054,0.7696028307243323,35.17204858494543,0.3216062937090372
747400,0.7926949656860388,0.7027420438301759,0.8382971095203513,36.39289914106766,0.3354193287304534
750400,0.7943874378109451,0.6739125604219717,0.8209217748494504,40.7915996586444,0.2823460888313656
1210400,0.8738586367880483,0.8312673253935644,0.911738627784062,36.845195998042705,0.26007385163545044
1025400,1.394954939668175,2.003725840798068,1.4155302330922035,70.45551991638493,0.2404715307337349
