Method,MAE
Historical_Mean,0.11732898009950252
Historical_Mean,0.8365949367088612
Historical_Mean,1.1992139894419311
Historical_Mean,0.3194923192206822
Historical_Mean,0.1774192581491193
Historical_Mean,0.21919970193740673
Historical_Mean,0.24334009563831333
Historical_Mean,0.49941947002443193
Historical_Mean,0.17210273618998428
Historical_Mean,0.21755666228152593
Historical_Mean,0.22362382914949414
Historical_Mean,0.2322412132883965
Historical_Mean,0.46116043576330573
Historical_Mean,0.8738586367880483
Historical_Mean,0.43804032721010333
Historical_Mean,0.7389708701371921
Historical_Mean,0.27297664901299956
Historical_Mean,0.3413182147514851
Historical_Mean,0.5946996208667269
Historical_Mean,0.4260866634569093
Historical_Mean,0.2436434761675495
Historical_Mean,0.31867288557213924
Historical_Mean,0.5491029418822282
Historical_Mean,0.8416106965174132
Historical_Mean,0.27993177660086627
Historical_Mean,0.3065162464985991
Historical_Mean,0.3049304613297149
Historical_Mean,0.43183844942935873
Historical_Mean,0.31904419836302356
Historical_Mean,0.3172313725490193
Historical_Mean,0.30215392392874346
Historical_Mean,1.394954939668175
Historical_Mean,0.7379695273631842
Historical_Mean,0.563878478574868
Historical_Mean,0.4603817873303169
Historical_Mean,0.333870286576169
Historical_Mean,0.2929915471187749
Historical_Mean,0.5627718246534286
Historical_Mean,0.25875058789653027
Historical_Mean,0.3045241694752047
Historical_Mean,0.8426285989407801
Historical_Mean,0.32294136440518706
Historical_Mean,0.5252721600998225
Historical_Mean,0.2957996617177222
Historical_Mean,0.8938985458559292
Historical_Mean,0.7926949656860388
Historical_Mean,0.9659404295051359
Historical_Mean,1.1245256348129484
Historical_Mean,0.3106431872893597
Historical_Mean,0.9612411021814005
Historical_Mean,0.40888675974963906
Historical_Mean,0.5073069539761004
Historical_Mean,0.46108811249220144
Historical_Mean,0.4905247953779488
Historical_Mean,0.556604764638347
Historical_Mean,0.41370710784313713
Historical_Mean,0.7943874378109451
Historical_Mean,0.5970504209720627
Historical_Mean,0.5566762156957149
Historical_Mean,0.48810999606454164
Historical_Mean,0.3721568627450981
Historical_Mean,0.6842913165266103
Historical_Mean,0.4765374578719308
Historical_Mean,0.5770625942684766
Historical_Mean,0.6026718954248363
Historical_Mean,0.4134520324422901
Historical_Mean,0.7265541125541128
Historical_Mean,0.7255506123229999
Historical_Mean,0.25177088832365496
Historical_Mean,1.3426909203980093
Historical_Mean,0.58458371040724
Historical_Mean,0.511116523042338
Moving_Average,0.16631840796019878
Moving_Average,0.124705882352941
Moving_Average,1.753627450980392
Moving_Average,0.9331372549019602
Moving_Average,0.29911764705882343
Moving_Average,0.14292929292929296
Moving_Average,0.24664179104477582
Moving_Average,1.1478431372549012
Moving_Average,0.3224102564102568
Moving_Average,0.494509803921569
Moving_Average,0.26213235294117626
Moving_Average,0.23613184079602
Moving_Average,0.43120646766169124
Moving_Average,0.3150000000000001
Moving_Average,0.5795895522388056
Moving_Average,0.26764705882352946
Moving_Average,0.4176492537313433
Moving_Average,0.6791915422885578
Moving_Average,1.1065174129353232
Moving_Average,0.48843283582089564
Moving_Average,0.25945273631840776
Moving_Average,0.4161940298507461
Moving_Average,1.1417412935323383
Moving_Average,0.4047885572139304
Moving_Average,0.15287313432835825
Moving_Average,0.19313725490196082
Moving_Average,0.9093781094527356
Moving_Average,0.4930303030303024
Moving_Average,0.3916044776119403
Moving_Average,0.14610294117647069
Moving_Average,0.31175373134328366
Moving_Average,0.3336764705882354
Moving_Average,1.1544776119402982
Moving_Average,0.5841417910447766
Moving_Average,0.44139705882352964
Moving_Average,0.47490196078431396
Moving_Average,0.3103731343283583
Moving_Average,0.5641176470588237
Moving_Average,0.28354477611940293
Moving_Average,0.5370895522388061
Moving_Average,1.2532587064676617
Moving_Average,0.17473039215686276
Moving_Average,0.4741915422885571
Moving_Average,0.41213235294117634
Moving_Average,0.29616915422885576
Moving_Average,1.0020522388059707
Moving_Average,0.5539705882352943
Moving_Average,1.609689054726368
Moving_Average,0.3436567164179104
Moving_Average,0.2659203980099502
Moving_Average,0.30807213930348276
Moving_Average,0.4826492537313434
Moving_Average,0.7315920398009949
Moving_Average,0.9635572139303488
Moving_Average,0.8118034825870648
Moving_Average,0.3147058823529415
Moving_Average,1.1724502487562185
Moving_Average,0.9302363184079602
Moving_Average,0.8368781094527362
Moving_Average,0.46398989898989895
Moving_Average,0.19117647058823528
Moving_Average,0.5068627450980392
Moving_Average,0.916218905472637
Moving_Average,0.4907352941176471
Moving_Average,1.1669607843137255
Moving_Average,0.3569651741293532
Moving_Average,0.7454545454545456
Moving_Average,0.8876990049751236
Moving_Average,0.8424004975124375
Moving_Average,0.3805348258706468
Moving_Average,0.986176470588236
Moving_Average,1.6651470588235298
Holt_Winters,0.11732898009950252
Holt_Winters,0.8365949367088612
Holt_Winters,1.1992139894419311
Holt_Winters,0.3194923192206822
Holt_Winters,0.1774192581491193
Holt_Winters,0.21919970193740673
Holt_Winters,0.24334009563831333
Holt_Winters,0.49941947002443193
Holt_Winters,0.17210273618998428
Holt_Winters,0.21755666228152593
Holt_Winters,0.22362382914949414
Holt_Winters,0.2322412132883965
Holt_Winters,0.46116043576330573
Holt_Winters,0.8738586367880483
Holt_Winters,0.43804032721010333
Holt_Winters,0.7389708701371921
Holt_Winters,0.27297664901299956
Holt_Winters,0.3413182147514851
Holt_Winters,0.5946996208667269
Holt_Winters,0.4260866634569093
Holt_Winters,0.2436434761675495
Holt_Winters,0.31867288557213924
Holt_Winters,0.5491029418822282
Holt_Winters,0.8416106965174132
Holt_Winters,0.27993177660086627
Holt_Winters,0.3065162464985991
Holt_Winters,0.3049304613297149
Holt_Winters,0.43183844942935873
Holt_Winters,0.31904419836302356
Holt_Winters,0.3172313725490193
Holt_Winters,0.30215392392874346
Holt_Winters,1.394954939668175
Holt_Winters,0.7379695273631842
Holt_Winters,0.563878478574868
Holt_Winters,0.4603817873303169
Holt_Winters,0.333870286576169
Holt_Winters,0.2929915471187749
Holt_Winters,0.5627718246534286
Holt_Winters,0.25875058789653027
Holt_Winters,0.3045241694752047
Holt_Winters,0.8426285989407801
Holt_Winters,0.32294136440518706
Holt_Winters,0.5252721600998225
Holt_Winters,0.2957996617177222
Holt_Winters,0.8938985458559292
Holt_Winters,0.7926949656860388
Holt_Winters,0.9659404295051359
Holt_Winters,1.1245256348129484
Holt_Winters,0.3106431872893597
Holt_Winters,0.9612411021814005
Holt_Winters,0.40888675974963906
Holt_Winters,0.5073069539761004
Holt_Winters,0.46108811249220144
Holt_Winters,0.4905247953779488
Holt_Winters,0.556604764638347
Holt_Winters,0.41370710784313713
Holt_Winters,0.7943874378109451
Holt_Winters,0.5970504209720627
Holt_Winters,0.5566762156957149
Holt_Winters,0.48810999606454164
Holt_Winters,0.3721568627450981
Holt_Winters,0.6842913165266103
Holt_Winters,0.4765374578719308
Holt_Winters,0.5770625942684766
Holt_Winters,0.6026718954248363
Holt_Winters,0.4134520324422901
Holt_Winters,0.7265541125541128
Holt_Winters,0.7255506123229999
Holt_Winters,0.25177088832365496
Holt_Winters,1.3426909203980093
Holt_Winters,0.58458371040724
Holt_Winters,0.511116523042338
MLP,0.11679281057584366
MLP,0.5749146055756587
MLP,1.317896647350596
MLP,1.3335018388787288
MLP,0.299859393377171
MLP,0.18749010885711911
MLP,0.2372608087410542
MLP,2.6629322431432993
MLP,0.15756856698823818
MLP,0.3543891920095029
MLP,0.24676780470033144
MLP,0.234406465226305
MLP,0.40150050550451466
MLP,0.9440114790860434
MLP,0.3781454936513933
MLP,0.5367800392259109
MLP,0.25031354813001117
MLP,0.30243089552618
MLP,0.8228782246802223
MLP,0.40139993490356424
MLP,0.27589378949638466
MLP,0.29899809330053234
MLP,2.0291744546417707
