mile,n_train,n_test,tqi_mean,tqi_std,Historical_Mean_MAE,Historical_Mean_RMSE,Historical_Mean_MAPE,Moving_Average_MAE,Moving_Average_RMSE,Moving_Average_MAPE,Holt_Winters_MAE,Holt_Winters_RMSE,Holt_Winters_MAPE,MLP_MAE,MLP_RMSE,MLP_MAPE,LSTM_MAE,LSTM_RMSE,LSTM_MAPE,TimeMixer_MAE,TimeMixer_RMSE,TimeMixer_MAPE,Trident_v21_MAE,Trident_v21_RMSE,Trident_v21_MAPE,Trident_v23_no_seasonal_MAE,Trident_v23_no_seasonal_RMSE,Trident_v23_no_seasonal_MAPE,Trident_v23_full_MAE,Trident_v23_full_RMSE,Trident_v23_full_MAPE
896400,312,68,2.9727964205816555,0.4705185920428767,0.4603817873303169,0.5466093177941246,19.29245012123408,0.44139705882352964,0.5251375870132683,18.47241264640378,0.4603817873303169,0.5466093177941246,19.29245012123408,0.37842482605623745,0.4528858084110596,15.432126055472226,0.42370791601039026,0.5004078410274247,17.67348476396206,0.37349482779792,0.4389199926657694,15.22391586077594,0.3177058823529413,0.39046668909667265,11.876646111463401,0.3177058823529413,0.39046668909667265,11.876646111463401,0.1972487606967495,0.2611709792139693,7.526481015451725
773400,312,68,3.428706935123042,0.5529458301230338,0.333870286576169,0.40074905636113917,10.111563773253081,0.47490196078431396,0.5582933845819545,15.071283439024509,0.333870286576169,0.40074905636113917,10.111563773253081,0.348401868008652,0.4468241425154116,9.841129277189301,0.33323304407123244,0.4071977853086749,10.021941548374906,0.44059100338241786,0.5772931837549446,13.706614712370573,0.333870286576169,0.40074905636113917,10.111563773253081,0.6510216718266262,0.7499444550612012,20.643531056940127,0.645959831210902,0.7664946672563784,19.89050811587188
734400,309,67,3.364710407239819,0.382964054404945,0.2929915471187749,0.3939142403534945,8.722447283446925,0.3103731343283583,0.4295272479324425,10.031279878487688,0.2929915471187749,0.3939142403534945,8.722447283446925,0.3374718053874406,0.4339533164152689,9.819264927888751,0.25355282259832573,0.36290273942958906,7.809196573693146,0.28954166313653323,0.3808308490345936,9.173009359528209,0.34922388059701437,0.44309811588237097,10.138092783137479,0.2929915471187749,0.3939142403534945,8.722447283446925,0.2512567952094731,0.3456161861153108,7.480992198680777
1063400,314,68,3.171175946547884,0.733965715887814,0.5627718246534286,0.6260077848939817,21.442759200396768,0.5641176470588237,0.6275136381092223,21.495507878267304,0.5627718246534286,0.6260077848939817,21.442759200396768,0.3617772230388059,0.4244218226336846,13.374974770727924,0.5008414853408055,0.5559868655326349,18.979387840260188,0.5223425132398072,0.679174464354759,19.113192621934036,0.3123529411764706,0.38461592760142665,10.902241035789327,0.3123529411764706,0.38461592760142665,10.902241035789327,0.3387908010134703,0.44781391529310294,12.601942283866762
811400,311,67,3.136512359550562,0.3859570448897787,0.25875058789653027,0.3516820179977782,8.397666039218944,0.28354477611940293,0.3741561400861665,9.869614175745768,0.25875058789653027,0.3516820179977782,8.397666039218944,0.33195201552051334,0.42117034928491587,10.348209836515155,0.2621957494874497,0.3532544510287707,8.479369521663326,0.23090430957452343,0.3395354768136023,8.131492609001874,0.25875058789653027,0.3516820179977782,8.397666039218944,0.25875058789653027,0.3516820179977782,8.397666039218944,0.22145468479796843,0.32031517584486785,7.420368364635616
936400,310,67,2.7850812641083524,0.3457404509810101,0.3045241694752047,0.3819604496345567,13.0296180126203,0.5370895522388061,0.6163096653861796,22.622326376630845,0.3045241694752047,0.3819604496345567,13.0296180126203,0.26491706573423257,0.3683174185256777,11.341694809750772,0.3148595950140882,0.4005390547785058,13.541081830439804,0.5377068934483815,0.6188961440921575,22.562908684917517,0.24623880597014922,0.31384405291838624,10.184160235453266,0.3045241694752047,0.3819604496345567,13.0296180126203,0.3058109776435062,0.38796189750570786,13.015912031750798
973400,310,67,2.8916621621621625,0.5401689713988871,0.8426285989407801,0.8860158404829553,39.792306761373986,1.2532587064676617,1.2828322178565728,58.14536829857351,0.8426285989407801,0.8860158404829553,39.792306761373986,1.578192859463435,1.6016574377709174,72.4223062092437,0.9611737711038162,1.0103056034386062,45.241643602673875,1.2508002683593562,1.2824449019210553,57.97452983457922,0.3669253731343285,0.45785952352613807,18.530810303522134,0.3669253731343285,0.45785952352613807,18.530810303522134,0.3644669350260228,0.46151897237570944,18.359971839527848
1209400,313,68,2.5849375,0.6150348351386322,0.32294136440518706,0.3853650719940331,14.644995488183996,0.17473039215686276,0.24129594621570152,7.536945353069003,0.32294136440518706,0.3853650719940331,14.644995488183996,0.30811209958762686,0.34891035553831806,12.787235300407717,0.3282930159980762,0.39885710490629656,14.833578846099794,0.18035199945562208,0.22664297887086896,7.757697303299597,0.1631372549019609,0.2320229310281116,7.491792665710893,0.32294136440518706,0.3853650719940331,14.644995488183996,0.30882554646705407,0.3655906438764137,13.768063333922237
891400,311,67,3.0988674157303366,0.44545345147036974,0.5252721600998225,0.6077449818550246,21.25970243364273,0.4741915422885571,0.5462604192948867,19.10052588588752,0.5252721600998225,0.6077449818550246,21.25970243364273,0.45283509953424184,0.5294477248983158,18.149353168767608,0.4844217310734652,0.5575069537033708,19.53290012187038,0.40523509960097875,0.4580010170814606,15.997982367298253,0.5252721600998225,0.6077449818550246,21.25970243364273,0.6115849324804549,0.7064764963074421,24.784147099914716,0.5915564105269763,0.6404572847045717,23.156709568762786
885400,313,68,3.3824776785714286,0.5052692767289855,0.2957996617177222,0.36662369541992484,8.368011041537576,0.41213235294117634,0.49465794116557943,12.76899847340286,0.2957996617177222,0.36662369541992484,8.368011041537576,0.22919686280934032,0.3169308505531216,6.732675588889636,0.24861266507821925,0.3101383279103644,7.256830991541883,0.4261950397705542,0.5005337306111031,13.0267813974602,0.7000588235294115,0.7734343578367544,19.521241678501426,0.7000588235294115,0.7734343578367544,19.521241678501426,0.7066748647602353,0.7873479776818733,19.78747785086778
854400,311,67,3.0530606741573036,0.7228019387818158,0.8938985458559292,0.9690988740366754,41.55422691387547,0.29616915422885576,0.39396841384952563,14.085407039731896,0.8938985458559292,0.9690988740366754,41.55422691387547,0.33575298786495344,0.4831911105484195,17.514269801607938,0.7391436970563077,0.8461319180690411,34.856532651453,0.30262141531135,0.3940716907179355,14.389364690495848,0.31604477611940307,0.40496887868470954,14.749121106698986,0.31604477611940307,0.40496887868470954,14.749121106698986,0.3218105180292719,0.4059923635969812,15.038871463792189
