Method,Wins,Losses,Ties,Win_Rate,Mean_Diff,Median_Diff,T_Statistic,T_PValue,W_Statistic,W_PValue,Significant_05,Significant_01
Trident_v21,35,7,30,48.61111111111111,0.14242274330583046,0.0,4.690129374368299,1.2862496313095478e-05,93.0,7.375170626370673e-06,Yes,Yes
Trident_v23_full,40,32,0,55.55555555555556,0.08581411491497357,0.014487478620588856,1.9110566314816309,0.06003480070908918,1018.0,0.09670114165439178,No,No
Trident_v23_no_seasonal,29,24,19,40.27777777777778,0.07016001326045102,0.0,1.5628188860618193,0.12254177869284069,554.0,0.1527969709307206,No,No
LSTM,37,35,0,51.388888888888886,0.00751719171107834,0.0016624667774363389,0.3750860332338787,0.7087146345780797,1284.0,0.8663073079260414,No,No
Holt_Winters,0,0,72,0.0,0.0,0.0,,,,,No,No
MLP,47,25,0,65.27777777777779,-0.06686789927500845,0.026262039784970576,-1.3418927698751326,0.18390658089938386,1049.0,0.13698872546841767,No,No
Moving_Average,25,47,0,34.72222222222222,-0.07151072212806861,-0.043748975826189196,-1.5948817172807102,0.11518080923829499,939.0,0.035344871864594604,No,No
