sample_idx,mile,n_clean,n_train,n_val,n_test,tqi_mean,tqi_std,mae_data_driven,mae_moving_avg,mae_rolling_anchor,improvement
2,1191400,482,337,72,73,2.268684647302904,0.4755906319540726,0.318714117312305,0.18901826484018286,0.20158944461025363,36.74913232264574
3,733400,460,322,69,69,3.710606521739128,0.3181264590789154,0.32563250517598535,0.2064371980676328,0.1603510266322159,50.75705770050335
8,910400,453,317,68,68,3.035167770419428,0.26595352432436187,0.20355761736871364,0.20808823529411793,0.23592792092560194,-15.902280629594138
10,713400,479,335,72,72,3.360022964509393,0.43649437143176506,0.5923223051409608,0.23703703703703713,0.22158611293082414,62.590280492967246
15,1189400,482,337,72,73,2.8622199170124465,0.6380002552948816,0.3844636396894419,0.30178082191780814,0.2709986425162706,29.51254304953907
16,745400,461,322,69,70,3.2656399132321052,0.35536028938675174,0.2107009760425909,0.4586666666666669,0.48128067310320444,-128.4188152056395
19,712400,478,334,72,72,3.300715481171544,0.36607332010506444,0.5633393213572877,0.1884722222222223,0.18068472101181826,67.92613010281555
27,892400,467,326,70,71,3.126413276231263,0.3617009922659821,0.42480752613842526,0.5015727699530519,0.46087597522860574,-8.49053909615232
29,1026400,483,338,72,73,2.94219461697723,0.7717685779942468,1.3567637999513635,0.24183789954337864,0.2879182854269065,78.77904131601775
30,1033400,484,338,73,73,2.966254132231403,0.7510561421477342,1.0191371889438268,0.18493150684931506,0.2251129349660755,77.91141983550132
32,893400,477,333,72,72,2.8940545073375272,0.5175989057898106,0.5661478144811474,0.6279166666666667,0.5506916195601106,2.7300635144554586
38,1018400,477,333,72,72,2.863165618448635,0.9074668708402354,1.628671171171169,0.3835648148148152,0.40177984871144534,75.33081841053725
