Method,Wins,Losses,Ties,Win_Rate,Mean_Diff,T_Statistic,T_PValue,W_Statistic,W_PValue,Significant
Moving_Average,25,47,0,34.72222222222222,-0.07151072212806861,-1.5948817172807102,0.11518080923829499,939.0,0.035344871864594604,No
Trident_v21,35,7,30,48.61111111111111,0.14242274330583046,4.690129374368299,1.2862496313095478e-05,93.0,7.375170626370673e-06,Yes
Trident_v23_no_seasonal,29,24,19,40.27777777777778,0.07016001326045102,1.5628188860618193,0.12254177869284069,554.0,0.1527969709307206,No
