tqi_mile,timemixer_mae,v21_mae,timemixer_time,v21_time
705400,4.05913938106852,0.4525415887566,0.9581766128540039,0.0195920467376709
707400,0.37716806512453,0.58919488561346,0.8557851314544678,0.02003002166748047
708400,1.3235216676318609,1.6085577180148494,0.8541214466094971,0.01862049102783203
709400,2.5752720832354057,1.2661299229925798,0.8548698425292969,0.01859736442565918
711400,1.2271912760986265,0.8855882390990013,0.8587639331817627,0.01842331886291504
712400,0.21993660227464445,0.33995797435739794,0.86741042137146,0.01839160919189453
713400,0.25475430437710894,0.24050858085101154,0.864532470703125,0.01874065399169922
714400,1.6508507882682588,1.602386036241117,0.8472487926483154,0.019066810607910156
715400,0.9400380258417506,0.6978650133719242,0.8534102439880371,0.0187225341796875
716400,1.7680087558355062,1.5151788856284785,0.8695433139801025,0.020633459091186523
717400,1.27287008354151,1.1570019695354417,0.8619537353515625,0.01844191551208496
718400,2.060589829004601,1.6571383839448612,0.8761568069458008,0.01853156089782715
719400,1.1260116412072345,0.9577326165606631,0.8638942241668701,0.019036054611206055
720400,1.3509977105534756,1.1253723295303557,0.8488419055938721,0.018567323684692383
721400,1.8727154469417833,2.0861478926192087,0.8563282489776611,0.018370866775512695
722400,1.8892986114881556,1.4470753321774887,0.8759250640869141,0.01911020278930664
723400,1.5253825134727688,1.2596124204194747,0.8592560291290283,0.018558025360107422
724400,1.173433604442469,1.2109380594474188,0.8572063446044922,0.01835346221923828
725400,1.4073640288556548,1.0817751049935047,0.8619017601013184,0.018357515335083008
726400,0.4729799237090291,0.6049327750475136,0.8507997989654541,0.01839470863342285
727400,1.1033302291349256,0.9865175452244342,0.8539583683013916,0.018291234970092773
728400,0.8174794857947355,1.6099097808928287,0.8557138442993164,0.023440837860107422
729400,1.202529697300772,0.9974560907290847,0.8665640354156494,0.018606901168823242
730400,1.0460979014591112,1.0089832689800113,0.8623232841491699,0.018326520919799805
731400,1.71882801012676,1.563827147755041,0.8636307716369629,0.018265485763549805
732400,1.0936223748145564,1.4564205419446974,0.8698232173919678,0.018285274505615234
733400,0.23844921664940832,0.23132255702067042,0.8789868354797363,0.018752098083496094
734400,0.31641191970392785,0.2097549167958647,0.8578641414642334,0.018367528915405273
735400,1.0599136665570075,1.0177887863557247,0.8627829551696777,0.018231630325317383
736400,1.6807067191120666,0.8245059996703182,0.8737509250640869,0.01822495460510254
737400,1.331630842361156,1.4575252108366994,0.8705217838287354,0.018352746963500977
738400,1.213309592504612,0.8888714849398779,0.8734469413757324,0.018241405487060547
739400,0.8972609104566117,0.7612993145856367,0.8660337924957275,0.017852783203125
740400,0.7293517651018698,1.026931346204665,0.8634288311004639,0.018666744232177734
741400,1.517511882172564,1.5789322240086092,0.8657557964324951,0.018411874771118164
742400,1.3713061405392397,1.202936873745391,0.854856014251709,0.01845073699951172
743400,1.4606719324819557,1.5929480402365666,0.8599147796630859,0.01840996742248535
744400,1.2210251836970953,1.0862482302934167,0.8739428520202637,0.018567323684692383
745400,0.24328474108021694,0.604916256005222,0.8604049682617188,0.018359899520874023
746400,0.7420247266771797,1.4915376498679291,0.8627328872680664,0.018603086471557617
747400,1.272500481437743,5.4261207637145,0.8495914936065674,0.01830458641052246
748400,0.9652232880733527,5.153272227002355,0.8631722927093506,0.018612384796142578
749400,0.9956582796733893,0.9205845992806241,0.8720674514770508,0.01853632926940918
750400,1.1313238448465255,0.28767834130183245,0.8650476932525635,0.018281221389770508
751400,1.3563997020904037,0.7651176118893283,0.9120023250579834,0.018635034561157227
752400,1.4506242332678645,0.43946628852920644,0.8727402687072754,0.01841449737548828
753400,1.3606377706680666,1.1195244123635224,0.8674449920654297,0.018184423446655273
754400,1.6933794119885857,1.6435346144573761,0.8583683967590332,0.018288135528564453
755400,1.221504282242216,0.6038873380724663,0.8619194030761719,0.01830267906188965
758400,1.600215535667732,1.143677975163998,0.8570330142974854,0.018398284912109375
